X,Y,OBJECTID,DFGCONTROL,OESNUMBER,DATEOFINCI,TIMEOFINCI,INLANDMARI,SPECIFICLO,WATER,WATERWAY,LOCALECITY,LOCALECOUN,LATITUDE,LONGITUDE
-13524300.7905,4543501.131,1,08FG1315,08-2566,2008/04/04 00:00:00+00,1100,Marine,Marine,Yes,Pacific Ocean,San Francisco,San Francisco,37.74525,-121.490848
-12757589.6208,3864463.5825,2,08FG0798,08-1391,2008/02/17 00:00:00+00,0632,Inland,Fresh Water,Yes,Yuma Main Canal that leads to Colorado River,Winterhaven,Imperial,32.767341,-114.603366
-12843146.6828,3909102.1415,3,08FG3355,08-7520,2008/10/16 00:00:00+00,1737,Inland,Fresh Water,Yes,irrigation ditch,Calapatria,Imperial,33.103888,-115.371938
-12849171.2923,3869393.8424,4,08FG3531,08-7979,2008/10/30 00:00:00+00,1700,Inland,Fresh Water,Yes,Irrigation Drain that leads to Salton Sea,Holtville,Imperial,32.804575,-115.426058
-12860216.3269,4227660.6388,5,08FG2139,08-4440,2008/06/22 00:00:00+00,0449,Inland,Fresh Water,Yes,"Drainage Ditch, runs to a seaonal gulley, currentl",Mountain Pass,San Bernardino,35.467972,-115.525277
-12935284.9473,3843893.4794,6,08FG3543,08-8018,2008/11/02 00:00:00+00,0830,Inland,Fresh Water,Yes,Goat Canyon,San Diego,San Diego,32.611825,-116.19963
-12946068.1435,3991357.5465,7,08FG3749,08-8501,2008/11/27 00:00:00+00,1210,Inland,Fresh Water,Yes,Coachella Valley Storm Water Channel,La Quinta,Riverside,33.720675,-116.296497
-12971603.6155,4004494.7448,8,08FG4063,08-9175,2008/12/27 00:00:00+00,1230,Inland,Fresh Water,Yes,Storm Drain,Unincorporated,Riverside,33.818777,-116.525886
-13008458.9363,3866402.1122,9,08FG0608,08-1011,2008/02/01 00:00:00+00,1930,Inland,Fresh Water,Yes,storm drain/Sweetwater River,El Cajon,San Diego,32.781983,-116.856963
-13009697.7094,4018068.241,10,08FG2858,08-6328,2008/08/29 00:00:00+00,1200,Inland,Fresh Water,Yes,storm drain,Banning,Riverside,33.920019,-116.868091
-13010596.9409,3900639.4393,11,08FG0530,08-0870,2008/01/28 00:00:00+00,1230,Inland,Fresh Water,Yes,Storm Drain,Ramona,San Diego,33.040183,-116.876169
-13012301.3514,3858637.9359,12,08FG3551,08-8038,2008/11/07 00:00:00+00,1254,Inland,Fresh Water,Yes,Drive Rver Bed,Jamul,San Diego,32.723325,-116.89148
-13014558.3646,4018818.6972,13,08FG3342,08-7490,2008/10/16 00:00:00+00,1400,Inland,Fresh Water,Yes,Storm Drain,Banning,Riverside,33.925613,-116.911755
-13016183.9662,4062115.4833,14,08FG2266,08-4933,2008/07/05 00:00:00+00,0600,Inland,Fresh Water,Yes,Big Bear Lake,Big Bear Lake,San Bernardino,34.24773,-116.926358
-13018149.6481,4089378.4969,15,08FG0164,08-0239,2008/01/03 00:00:00+00,1400,Inland,Fresh Water,Yes,Unnamed Stream,Lucerne Valley,San Bernardino,34.44993,-116.944016
-13018473.1378,4019512.7184,16,08FG3632,08-8235,2008/11/15 00:00:00+00,1800,Inland,Fresh Water,Yes,storm drain to Temescal Canyon,Beaumont,Riverside,33.930786,-116.946922
